dataset_id,TRAN_AMT,WF_dvc_age,ALERT_TRGR_CD,DVC_TYPE_TXT,CARR_Missing,PH_NUM_UPDT_TS_Missing,PWD_UPDT_TS tm_year,PWD_UPDT_TS tm_hour,PWD_UPDT_TS tm_min,PH_NUM_UPDT_TS tm_year,PH_NUM_UPDT_TS tm_mon,PH_NUM_UPDT_TS tm_hour,PH_NUM_UPDT_TS tm_sec,PH_NUM_UPDT_TS tm_yday
1,54.25,634,1,1.0,0,0,2020.0,9.0,33.0,2018.0,7.0,9.0,37.0,189.0
2,110.3,1876,2,2.0,0,1,2021.0,17.0,2.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
3,515.95,40,1,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2018.0,8.0,1.0,7.0,240.0
4,42.78,367,1,2.0,0,0,2021.0,4.0,5.0,2019.0,7.0,6.0,28.0,184.0
5,0.01,518,1,2.0,0,0,2018.0,4.0,7.0,2020.0,7.0,11.0,37.0,190.0
6,471.72,1267,1,0.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2021.0,11.0,11.0,52.0,331.0
7,490.57,-33,1,2.0,1,0,2018.0,16.0,24.0,2020.0,12.0,17.0,26.0,349.0
8,491.61,3,2,2.0,1,0,2018.0,17.0,20.0,2021.0,5.0,23.0,11.0,142.0
9,495.25,1188,2,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2020.0,6.0,15.0,54.0,168.0
10,2109.81,58,1,2.0,0,0,2021.0,7.0,21.0,2017.0,6.0,16.0,56.0,164.0
11,87.16,555,1,0.0,0,0,2017.0,13.0,30.0,2018.0,12.0,18.0,16.0,336.0
12,486.03,0,2,2.0,1,0,2021.0,17.0,31.0,2020.0,5.0,11.0,55.0,128.0
13,493.34,0,1,1.0,0,0,2020.0,14.0,6.0,2020.0,11.0,11.0,1.0,306.0
14,455.78,2140,2,2.0,0,1,2018.0,4.0,46.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
15,0.01,353,1,2.0,0,1,2017.0,4.0,46.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
16,0.01,532,1,2.0,0,0,2019.0,4.0,28.0,2018.0,7.0,6.0,36.0,189.0
17,819.44,1279,1,0.0,0,0,2019.0,8.0,7.0,2021.0,12.0,17.0,22.0,342.0
18,60.53,962,2,2.0,0,0,2019.0,4.0,7.0,2019.0,1.0,14.0,37.0,8.0
19,407.48,359,1,2.0,0,0,2020.0,14.0,43.0,2018.0,7.0,22.0,47.0,201.0
20,107.03,76,1,4.0,0,0,2017.0,22.0,48.0,2019.0,6.0,18.0,8.0,152.0
21,228.04,685,1,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
22,0.01,485,2,1.0,0,1,2018.0,11.0,15.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
23,0.01,430,2,2.0,1,0,2018.0,15.0,3.0,2020.0,11.0,6.0,29.0,316.0
24,13.74,501,1,4.0,0,1,2019.0,21.0,10.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
25,40.84,220,1,0.0,0,0,2020.0,10.0,40.0,2020.0,1.0,13.0,39.0,2.0
26,495.47,435,1,0.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2020.0,5.0,23.0,5.0,126.0
27,490.93,841,2,2.0,1,0,2020.0,12.0,52.0,2020.0,7.0,8.0,34.0,185.0
28,18.28,516,2,1.0,1,1,2018.0,1.0,18.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
29,501.99,1140,2,2.0,0,1,2021.0,1.0,5.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
30,0.01,2072,1,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
31,486.99,0,2,0.0,1,0,2020.0,9.0,56.0,2020.0,8.0,15.0,5.0,227.0
32,8.73,2042,1,1.0,0,0,2018.0,4.0,24.0,2020.0,11.0,22.0,17.0,320.0
33,488.08,2,2,1.0,1,1,2020.0,6.0,2.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
34,95.01,1452,2,0.0,0,1,2018.0,4.0,15.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
35,0.01,88,1,2.0,0,0,2021.0,4.0,57.0,2017.0,1.0,6.0,37.0,28.0
36,0.01,464,1,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2019.0,7.0,6.0,37.0,207.0
37,491.25,0,1,1.0,1,0,2021.0,12.0,10.0,2020.0,5.0,19.0,27.0,122.0
38,73.49,1329,2,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2021.0,12.0,4.0,37.0,349.0
39,968.91,56,1,1.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
40,76.27,1839,1,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2018.0,6.0,6.0,42.0,159.0
41,486.39,0,2,1.0,1,1,2021.0,3.0,15.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
42,36.51,35,1,2.0,0,0,2020.0,4.0,35.0,2019.0,7.0,6.0,14.0,204.0
43,0.01,132,2,2.0,0,1,2020.0,4.0,42.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
44,490.21,575,2,0.0,1,1,2020.0,12.0,23.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
45,447.34,28,2,2.0,0,1,2018.0,10.0,13.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
46,489.23,2037,1,1.0,1,0,2020.0,0.0,45.0,2020.0,5.0,9.0,35.0,145.0
47,158.99,1953,2,1.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2018.0,5.0,17.0,19.0,135.0
48,480.04,933,1,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
49,847.06,616,1,2.0,0,0,2017.0,4.0,0.0,2020.0,7.0,10.0,37.0,190.0
50,492.98,835,2,0.0,1,0,2020.0,3.0,31.0,2021.0,5.0,16.0,45.0,135.0
51,490.89,484,2,1.0,1,1,2021.0,7.0,9.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
52,473.18,501,1,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2019.0,6.0,9.0,37.0,176.0
53,4.01,134,1,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2018.0,3.0,8.0,36.0,64.0
54,397.92,906,2,2.0,0,0,2020.0,15.0,18.0,2020.0,7.0,6.0,37.0,190.0
55,545.41,523,1,2.0,0,1,2017.0,11.0,17.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
56,490.99,622,2,0.0,0,0,2020.0,18.0,41.0,2019.0,5.0,12.0,5.0,149.0
57,496.2,835,1,1.0,0,0,2020.0,19.0,10.0,2021.0,6.0,9.0,7.0,152.0
58,0.01,54,2,2.0,0,0,2017.0,12.0,2.0,2019.0,7.0,20.0,0.0,187.0
59,1043.62,56,1,2.0,0,0,2018.0,8.0,42.0,2020.0,10.0,11.0,47.0,294.0
60,68.66,686,2,2.0,0,1,2019.0,14.0,7.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
61,478.19,346,1,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
62,494.46,553,2,1.0,1,0,2021.0,16.0,35.0,2018.0,5.0,1.0,8.0,137.0
63,83.33,216,1,0.0,0,0,2021.0,15.0,6.0,2018.0,8.0,13.0,37.0,242.0
64,0.01,536,1,2.0,0,1,2021.0,7.0,22.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
65,475.3,12,1,2.0,1,1,2020.0,0.0,7.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
66,6.59,787,2,2.0,0,1,2020.0,16.0,50.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
67,885.56,163,2,4.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2018.0,6.0,17.0,50.0,161.0
68,99.35,229,1,2.0,0,0,2019.0,4.0,46.0,2017.0,7.0,13.0,37.0,209.0
69,492.63,0,1,2.0,1,0,2020.0,13.0,14.0,2020.0,5.0,13.0,34.0,151.0
70,3.75,527,2,2.0,0,1,2017.0,12.0,57.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
71,2.47,287,2,2.0,0,1,2017.0,10.0,14.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
72,5.78,150,1,0.0,0,1,2019.0,4.0,30.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
73,0.01,228,1,2.0,1,0,2019.0,4.0,45.0,2019.0,7.0,10.0,37.0,189.0
74,26.32,806,2,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2020.0,2.0,12.0,37.0,38.0
75,191.94,707,2,2.0,0,0,2020.0,6.0,49.0,2017.0,5.0,6.0,43.0,142.0
76,0.01,387,1,2.0,1,1,2020.0,4.0,35.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
77,462.6,30,1,2.0,0,1,2019.0,13.0,1.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
78,476.01,905,2,0.0,0,0,2020.0,19.0,39.0,2017.0,4.0,8.0,20.0,113.0
79,214.02,581,2,2.0,0,0,2019.554677488253,10.29666809055959,26.19564288765485,2018.0,8.0,10.0,35.0,220.0
80,19.62,644,1,1.0,0,1,2020.0,10.0,46.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
81,489.81,4,2,1.0,1,0,2020.0,11.0,20.0,2020.0,3.0,7.0,26.0,87.0
82,15.79,154,2,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
83,486.82,0,2,2.0,1,0,2021.0,10.0,56.0,2020.0,5.0,23.0,2.0,122.0
84,473.2,1829,2,2.0,0,1,2020.0,4.0,53.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
85,83.35,109,1,2.0,0,0,2021.0,17.0,24.0,2018.0,4.0,9.0,45.0,97.0
86,496.96,292,2,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
87,123.56,246,1,2.0,0,1,2021.0,15.0,44.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
88,6.04,30,1,0.0,0,0,2020.0,8.0,23.0,2020.0,2.0,6.0,37.0,39.0
89,0.01,1192,2,1.0,0,0,2019.0,11.0,24.0,2017.0,3.0,6.0,49.0,85.0
90,0.01,45,1,2.0,0,1,2021.0,17.0,57.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
91,482.83,1244,2,1.0,0,1,2017.0,15.0,5.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
92,165.62,1575,2,2.0,0,1,2020.0,8.0,51.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
93,135.42,1723,1,1.0,0,0,2021.0,15.0,33.0,2021.0,1.0,9.0,7.0,1.0
94,75.8,2018,1,0.0,0,0,2017.0,2.0,59.0,2020.0,7.0,6.0,34.0,209.0
95,123.09,1690,1,2.0,0,0,2017.0,11.0,35.0,2019.0,6.0,4.0,37.0,158.0
96,0.01,613,1,2.0,0,1,2021.0,9.0,11.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
97,485.53,1745,2,2.0,1,0,2021.0,6.0,6.0,2018.0,5.0,23.0,5.0,145.0
98,407.31,1052,1,0.0,0,1,2020.0,4.0,7.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
99,490.66,0,2,2.0,0,0,2021.0,8.0,56.0,2020.0,5.0,12.0,36.0,142.0
100,472.37,62,2,2.0,0,1,2017.0,8.0,37.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
101,8.7,654,1,1.0,0,1,2021.0,15.0,50.0,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
102,0.01,124,2,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
103,456.84,1002,2,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
104,489.32,1675,2,0.0,0,0,2018.0,12.0,12.0,2020.0,5.0,23.0,36.0,151.0
105,12.29,61,2,2.0,0,1,2019.554677488253,10.29666809055959,26.19564288765485,2019.2462887989204,6.115384615384615,11.398785425101215,28.02968960863698,168.138326585695
